Year,State,CO2_annual
2015,CT,36196028
2015,DC,142404
2015,DE,16363964
2015,FL,447452640
2015,GA,237095920
2015,HI,29424196
2015,IA,140171612
2015,ID,7462840
2015,IL,337099380
2015,IN,356180628
2015,KS,109364176
2015,KY,305709188
2015,LA,225195728
2015,MA,53686836
2015,MD,73256420
2015,ME,11823100
2015,MI,268477108
2015,MN,121228404
2015,MO,271981336
2015,MS,100682732
2015,MT,72542020
2015,NC,215296560
2015,ND,124982052
2015,NE,101303132
2015,NH,14613728
2015,NJ,77708804
2015,NM,99399320
2015,NV,59008056
2015,NY,130922900
2015,OH,334889596
2015,OK,166504200
2015,OR,35946400
2015,PA,363890448
2015,RI,11494544
2015,SC,119395996
2015,SD,7765008
2015,TN,151908132
2015,TX,973544424
2015,US-TOTAL,8125809052
2015,UT,134752784
2015,VA,139591904
2015,VT,44336
2015,WA,46344972
2015,WI,180778800
2015,WV,265079380
2015,WY,189902172
2016,AK,13865236
2016,AL,231104936
2016,AR,126903464
2016,AZ,178123052
2016,CA,188030560
2016,CO,144298664
2016,CT,34314560
2016,DC,190216
2016,DE,17453692
2016,FL,441552712
2016,GA,240622188
2016,HI,29027600
2016,IA,120862160
2016,ID,7315624
2016,IL,288902300
2016,IN,341570480
2016,KS,103048616
2016,KY,289730712
2016,LA,212647640
2016,MA,50887300
2016,MD,74311864
2016,ME,10229324
